date,value_weighted_return
1930-01-31,0.058407
1930-02-28,0.028242
1930-03-31,0.074631
1930-04-30,-0.020541
1930-05-29,-0.01401
1930-06-30,-0.15998
1930-07-31,0.041964
1930-08-29,0.003663
1930-09-30,-0.124805
1930-10-31,-0.086579
1930-11-29,-0.028057
1930-12-31,-0.077739
1931-01-31,0.063781
1931-02-28,0.109695
1931-03-31,-0.062866
1931-04-30,-0.100219
1931-05-29,-0.133835
1931-06-30,0.14034
1931-07-31,-0.066438
1931-08-31,0.003078
1931-09-30,-0.291731
1931-10-31,0.081509
1931-11-30,-0.088402
1931-12-31,-0.134971
1932-01-30,-0.010534
1932-02-29,0.057663
1932-03-31,-0.110599
1932-04-30,-0.179417
1932-05-31,-0.206198
1932-06-30,-0.004289
1932-07-30,0.340643
1932-08-31,0.371388
1932-09-30,-0.028649
1932-10-31,-0.132553
1932-11-30,-0.05826
1932-12-31,0.045227
1933-01-31,0.009813
1933-02-28,-0.153204
1933-03-31,0.033105
1933-04-29,0.394143
1933-05-31,0.213261
1933-06-30,0.133364
1933-07-31,-0.096342
1933-08-31,0.121285
1933-09-30,-0.105836
1933-10-31,-0.08365
1933-11-29,0.099896
1933-12-30,0.017876
1934-01-31,0.126779
1934-02-28,-0.024287
1934-03-31,0.004425
1934-04-30,-0.018345
1934-05-31,-0.072273
1934-06-30,0.025345
1934-07-31,-0.109363
1934-08-31,0.057043
1934-09-29,-0.002362
1934-10-31,-0.018895
1934-11-30,0.082096
1934-12-31,0.003554
1935-01-31,-0.033416
1935-02-28,-0.019462
1935-03-30,-0.036013
1935-04-30,0.090452
1935-05-31,0.034561
1935-06-29,0.057796
1935-07-31,0.07416
1935-08-31,0.026773
1935-09-30,0.026074
1935-10-31,0.069439
1935-11-30,0.052872
1935-12-31,0.046926
1936-01-31,0.069559
1936-02-29,0.025402
1936-03-31,0.008253
1936-04-30,-0.081481
1936-05-29,0.052043
1936-06-30,0.024671
1936-07-31,0.065954
1936-08-31,0.01095
1936-09-30,0.011899
1936-10-31,0.069986
1936-11-30,0.032855
1936-12-31,0.002796
1937-01-30,0.033258
1937-02-27,0.013114
1937-03-31,-0.002732
1937-04-30,-0.075416
1937-05-28,-0.007054
1937-06-30,-0.041748
1937-07-31,0.089725
1937-08-31,-0.048365
1937-09-30,-0.136623
1937-10-30,-0.095798
1937-11-30,-0.083053
1937-12-31,-0.040774
1938-01-31,0.006776
1938-02-28,0.058013
1938-03-31,-0.238416
1938-04-30,0.145963
1938-05-31,-0.039053
1938-06-30,0.237914
1938-07-30,0.072097
1938-08-31,-0.027139
1938-09-30,0.008912
1938-10-31,0.078927
1938-11-30,-0.018206
1938-12-31,0.04192
1939-01-31,-0.060381
1939-02-28,0.035255
1939-03-31,-0.120727
1939-04-29,-0.001932
1939-05-31,0.068971
1939-06-30,-0.053626
1939-07-31,0.102243
1939-08-31,-0.067264
1939-09-30,0.161815
1939-10-31,-0.004191
1939-11-30,-0.037131
1939-12-30,0.029686
1940-01-31,-0.024215
1940-02-29,0.014758
1940-03-30,0.018643
1940-04-30,0.000837
1940-05-31,-0.221112
1940-06-29,0.066856
1940-07-31,0.031923
1940-08-31,0.024296
1940-09-30,0.023118
1940-10-31,0.030143
1940-11-30,-0.016753
1940-12-31,0.006586
1941-01-31,-0.041227
1941-02-28,-0.013801
1941-03-31,0.009515
1941-04-30,-0.054018
1941-05-31,0.013141
1941-06-30,0.058495
1941-07-31,0.059543
